C00629618|N|TER|P|201701230300133512|15C|IND|PEREZ, JOHN A|LOS ANGELES|CA|90017|PRINCIPAL|DOUBLE NICKEL ADVISORS|1032017|40|H6CA34245|SA01251735122|1141239|||2012520171368850783
C00177436|N|M2|P|201702039042410894|15|IND|DEEHAN, WILLIAM N|ALPHARETTA|GA|300047357|UNUM|SVP, SALES, CL|1312017|384||PR2283873845050|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029337
C00384818|N|M2|P|201702039042412112|15|IND|ABBOTT, JOSEPH|WOONSOCKET|RI|28956146|CVS HEALTH|VP, RETAIL PHARMACY OPS|1122017|250||2017020211435-887|1147467|||4020820171370030285
C00177436|N|M2|P|201702039042410893|15|IND|SABOURIN, JAMES|LOOKOUT MOUNTAIN|GA|307502818|UNUM|SVP, CORPORATE COMMUNICATIONS|1312017|230||PR1890575345050|1147350||P/R DEDUCTION ($115.00 BI-WEEKLY)|4020820171370029335
C00177436|N|M2|P|201702039042410895|15|IND|JEROME, CHRISTOPHER|FALMOUTH|ME|41051896|UNUM|EVP, GLOBAL SERVICES|1312017|384||PR2283905245050|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029342
C00384818|N|M2|P|201702039042412112|15|IND|BAKER, SCOTT|WOONSOCKET|RI|28956146|CVS HEALTH|EVP, HEAD OF RETAIL OPERATIONS|1122017|333||2017020211435-910|1147467|||4020820171370030287
C00177436|N|M2|P|201702039042410894|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|41051935|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|1312017|384||PR2283904845050|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029339
C00177436|N|M3|P|201702039042410895|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|900931847|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|112017|454402||PR2283904845051|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029340
C00184757|N|M4|P|201702039042410896|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1636242999|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|292017|134246||PR2283904845052|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029341
C00629618|N|M5|P|201702039042410897|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1439374523|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|382017|582010||PR2283904845053|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029342
C00129747|N|M6|P|201702039042410898|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|564010256|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|495365||PR2283904845054|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029343
C00184757|N|M7|P|201702039042410899|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|303593118|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|322017|503770||PR2283904845055|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029344
C00663469|N|M8|P|201702039042410900|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5617552747|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|172017|479065||PR2283904845056|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029345
C00177436|N|M9|P|201702039042410901|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6905186857|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|382017|870681||PR2283904845057|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029346
C00759657|N|M10|P|201702039042410902|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3698016126|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|162017|46872||PR2283904845058|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029347
C00684488|N|M11|P|201702039042410903|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3217473520|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|69090||PR2283904845059|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029348
C00644445|N|M12|P|201702039042410904|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5253400909|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|382017|41996||PR2283904845060|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029349
C00184757|N|M13|P|201702039042410905|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7656018166|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|242017|638292||PR2283904845061|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029350
C00684488|N|M14|P|201702039042410906|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2600139777|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|222017|764080||PR2283904845062|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029351
C00159964|N|M15|P|201702039042410907|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8985463746|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|262017|132835||PR2283904845063|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029352
C00468289|N|M16|P|201702039042410908|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7680350799|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|232017|136303||PR2283904845064|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029353
